dataset,model,auc_roc,pr_auc,log_loss,brier_score,recall,f1_score,fit_seconds,fit_peak_memory_mb,predict_seconds,predict_peak_memory_mb,best_threshold,min_expected_cost,cost_at_naive_0.5_threshold,calibration_predicted,calibration_observed,fairness_protected_attribute,fairness_privileged_group,fairness_unprivileged_group,fairness_selection_rate_privileged,fairness_selection_rate_unprivileged,fairness_disparate_impact_ratio,fairness_equalized_odds_gap
cd1,tabfm,0.7605906560154925,0.17980070406000073,0.21007624390307586,0.055434678417618406,0.012345679012345678,0.022988505747126436,0.2558356790000289,1.8223237991333008,183.2839210220004,21.477158546447754,0.17,0.271264367816092,0.3103448275862069,"[0.0010393039886970766, 0.004167051749447218, 0.00885012480323665, 0.015431414859799238, 0.023208449786628477, 0.03455172410378089, 0.050138896589095774, 0.07633018286059831, 0.11864532455801964, 0.2543877059494266]","[0.0, 0.015384615384615385, 0.030534351145038167, 0.03076923076923077, 0.022900763358778626, 0.038461538461538464, 0.06923076923076923, 0.0916030534351145, 0.1, 0.22137404580152673]",gender,male,female,0.9656084656084656,0.8451730418943534,0.8752750954412756,0.29605263157894735
cd1,sap_rpt,0.7541959170499475,0.16558231967985163,0.20996024886706313,0.0557366423380792,0.0,0.0,0.001991469000131474,0.05203056335449219,3.148763209000208,2.6850366592407227,0.18000000000000002,0.2789272030651341,0.3111111111111111,"[0.002585438156113, 0.0073735608396908415, 0.013368019571115497, 0.021672055268516906, 0.032543741792212914, 0.04635691109758157, 0.06668044580863072, 0.09122283256235923, 0.13810229398883306, 0.26594117545444546]","[0.0, 0.03076923076923077, 0.007633587786259542, 0.03076923076923077, 0.04580152671755725, 0.046153846153846156, 0.06923076923076923, 0.04580152671755725, 0.13076923076923078, 0.21374045801526717]",gender,male,female,0.9484126984126984,0.8287795992714025,0.873859661156458,0.212719298245614
cd1,xgboost,0.702765674170903,0.14130397962034685,0.2471244922497753,0.0613623384997405,0.06172839506172839,0.0970873786407767,0.2356595539999944,0.034236907958984375,0.008305618000122195,0.0273895263671875,0.26,0.28735632183908044,0.30421455938697317,"[0.0004813004631010588, 0.001342694928797965, 0.003295110183135244, 0.00713166708055024, 0.013863257871841202, 0.024900167951217064, 0.03908641455838313, 0.061394414004251247, 0.11230317743924947, 0.33342279061561325]","[0.015267175572519083, 0.023076923076923078, 0.022900763358778626, 0.038461538461538464, 0.030534351145038167, 0.06153846153846154, 0.1, 0.0916030534351145, 0.05384615384615385, 0.183206106870229]",gender,male,female,0.9722222222222222,0.907103825136612,0.9330210772833724,0.12061403508771928
cd1,lightgbm,0.7225147260550311,0.14427635399001937,0.28985882800671825,0.06385727094573976,0.06172839506172839,0.09433962264150944,0.23270193300004394,3.088761329650879,0.027537686999949074,0.2679891586303711,0.28,0.29118773946360155,0.3065134099616858,"[2.0770415353348906e-05, 0.00012049086500252292, 0.00039084641520062993, 0.0009795422168051079, 0.002246593059058046, 0.005641746197118837, 0.011601914389177318, 0.025086169082356807, 0.06307210710507286, 0.3256724648009772]","[0.0, 0.03076923076923077, 0.015267175572519083, 0.046153846153846156, 0.05343511450381679, 0.015384615384615385, 0.07692307692307693, 0.09923664122137404, 0.12307692307692308, 0.16030534351145037]",gender,male,female,0.9761904761904762,0.9253187613843351,0.9478875116620018,0.06798245614035087
cd1,logreg,0.7554062777374324,0.17842707999880775,0.20983085005062685,0.055929705005434406,0.024691358024691357,0.0449438202247191,0.06977928000014799,0.7542562484741211,0.020235234000210767,0.3643302917480469,0.19,0.27662835249042145,0.30727969348659,"[0.004351606055410982, 0.009782873232470603, 0.016127172918671415, 0.023331171013669112, 0.03247783815246191, 0.04406294176461566, 0.060166705199190776, 0.0876112705441584, 0.13439899723936088, 0.28066010558686955]","[0.0, 0.015384615384615385, 0.04580152671755725, 0.015384615384615385, 0.030534351145038167, 0.03076923076923077, 0.08461538461538462, 0.08396946564885496, 0.1, 0.21374045801526717]",gender,male,female,0.9656084656084656,0.843351548269581,0.8733887267011003,0.33771929824561403
cd2,sap_rpt,0.7680658989448051,0.5123883719244521,0.4374409861216585,0.13801616362263214,0.3066326530612245,0.4154856550293813,0.0016931380000642093,0.1955127716064453,37.38430865700002,4.331085205078125,0.15000000000000002,0.5611111111111111,0.7918888888888889,"[0.05218386911062731, 0.07225300078590711, 0.08756369367241859, 0.10495137225422595, 0.12606825342608824, 0.15118466764192337, 0.18805522316687628, 0.24657226676742236, 0.38817253407504826, 0.6607052055332395]","[0.052222222222222225, 0.06444444444444444, 0.10444444444444445, 0.12, 0.13555555555555557, 0.1598224195338513, 0.19911012235817574, 0.2588888888888889, 0.4411111111111111, 0.6422222222222222]",gender,female,male,0.5920564216778025,0.48172757475083056,0.8136514648142555,0.10902117675039252
cd2,xgboost,0.7692861491187384,0.5339124977794681,0.4360950763063754,0.13686483589248297,0.3709183673469388,0.4711600777705768,1.3189338090001002,0.18195056915283203,0.047092969000004814,0.1424713134765625,0.13,0.5644444444444444,0.7293333333333333,"[0.030840311016783944, 0.054422037932607865, 0.07562492022083865, 0.09864732724924882, 0.12468670691880915, 0.154588616821501, 0.19838403970003127, 0.2799055739409394, 0.44021179609828526, 0.7285680426491632]","[0.04888888888888889, 0.07888888888888888, 0.09111111111111111, 0.1111111111111111, 0.13777777777777778, 0.17444444444444446, 0.20777777777777778, 0.24222222222222223, 0.4166666666666667, 0.6688888888888889]",gender,female,male,0.5033407572383074,0.416389811738649,0.8272523250913866,0.08590428921787324
cd2,lightgbm,0.7693645640074211,0.5299914644316969,0.4362820384132578,0.13716516509063958,0.3489795918367347,0.4531301755548195,1.8628087539996159,3.225985527038574,0.1376217900001393,0.27689456939697266,0.15000000000000002,0.567,0.7505555555555555,"[0.032413008980654225, 0.057012762899706436, 0.07786608695261032, 0.09903177737037556, 0.12411941701503125, 0.15561390906030545, 0.20011203922468013, 0.2781724588654928, 0.4291997195860457, 0.7325360908927265]","[0.044444444444444446, 0.07333333333333333, 0.1, 0.11666666666666667, 0.14888888888888888, 0.15888888888888889, 0.19444444444444445, 0.26555555555555554, 0.4033333333333333, 0.6722222222222223]",gender,female,male,0.571826280623608,0.4839424141749723,0.8463102004462029,0.08785203838729516
cd2,logreg,0.7616325081168832,0.5212060320917691,0.4397099704081739,0.1376477412106077,0.33877551020408164,0.44623655913978494,0.8078740279997874,23.964715003967285,0.034282510000139155,11.418940544128418,0.17,0.5717777777777778,0.7591111111111111,"[0.06497659516392588, 0.10220476915823823, 0.11838300947902833, 0.13104987606674146, 0.14249002806578068, 0.15593588828565835, 0.17472765640359558, 0.2230382252178945, 0.37687725264712646, 0.7200061224112422]","[0.05444444444444444, 0.09888888888888889, 0.10111111111111111, 0.10222222222222223, 0.14, 0.15555555555555556, 0.18777777777777777, 0.25666666666666665, 0.4066666666666667, 0.6744444444444444]",gender,female,male,0.6846696362286563,0.5595238095238095,0.8172172094644309,0.12520925680289183
ld1,tabfm,0.9982661516937904,0.9833433940770325,0.054812422073632676,0.01597633854922376,1.0,0.91,0.21200654799986296,1.735940933227539,155.90290794200018,21.218201637268066,0.02,0.01782178217821782,0.01782178217821782,"[1.5730272810394014e-08, 3.788272365108633e-08, 7.811427551440928e-08, 1.4234135310255507e-07, 2.461097424337381e-07, 4.799889200733173e-07, 8.941984343563139e-07, 3.366690714639196e-06, 0.07143986911884022, 0.9844119336345408]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.039603960396039604, 0.8613861386138614]",,,,,,,
