dataset,model,missing_rate,auc_roc,pr_auc,log_loss,brier_score,recall,f1_score
cd1,tabfm,0.0,0.7600964254014363,0.1794487133700976,0.21016036938485205,0.05544907853712706,0.012345679012345678,0.022988505747126436
cd1,tabfm,0.05,0.7679839425482126,0.17924983101214995,0.2073796440249726,0.05532561753679905,0.012345679012345678,0.022988505747126436
cd1,tabfm,0.2,0.7434590091180504,0.16468797370085922,0.21147593830498157,0.05596447923524561,0.012345679012345678,0.023529411764705882
cd1,tabfm,0.5,0.6918119099491649,0.14504708848716263,0.22124574298598673,0.057423696713275144,0.012345679012345678,0.023809523809523808
cd1,sap_rpt,0.0,0.7541959170499475,0.16558231967985163,0.20996024886706313,0.0557366423380792,0.0,0.0
cd1,sap_rpt,0.05,0.7522795126280966,0.14898355627155102,0.21438260167045467,0.05723925140973348,0.0,0.0
cd1,sap_rpt,0.2,0.6985142822561123,0.13734475786300765,0.24153145520877142,0.06302729429454015,0.0,0.0
cd1,sap_rpt,0.5,0.6954329056725571,0.14595338719104867,0.2831365955705984,0.07228734112156344,0.0,0.0
cd1,xgboost,0.0,0.702765674170903,0.14130397962034685,0.2471244922497753,0.0613623384997405,0.06172839506172839,0.0970873786407767
cd1,xgboost,0.05,0.707324699427096,0.12707115500907737,0.2611833041845772,0.06957984040980371,0.09876543209876543,0.128
cd1,xgboost,0.2,0.6710088356330187,0.1027786562055564,0.33062616781834503,0.09740246722608377,0.1728395061728395,0.14285714285714285
cd1,xgboost,0.5,0.5749566287420318,0.09537030774195497,0.44047058545545525,0.13619224397743399,0.19753086419753085,0.12403100775193798
cd1,lightgbm,0.0,0.7225147260550311,0.14427635399001937,0.28985882800671825,0.06385727094573976,0.06172839506172839,0.09433962264150944
cd1,lightgbm,0.05,0.722434035342532,0.13264782782621332,0.2893646224018458,0.06473465671874465,0.037037037037037035,0.06060606060606061
cd1,lightgbm,0.2,0.6947924231420963,0.12293495749196881,0.29608342838692053,0.0634963456917331,0.037037037037037035,0.061855670103092786
cd1,lightgbm,0.5,0.6540032679738562,0.10438062131125578,0.3138228704417175,0.06269792899663934,0.0,0.0
cd1,logreg,0.0,0.7554062777374324,0.17842707999880775,0.20983085005062685,0.055929705005434406,0.024691358024691357,0.0449438202247191
