dataset,model,missing_rate,auc_roc,pr_auc,log_loss,brier_score,recall,f1_score
cd1,xgboost,0.0,0.7403927620430888,0.1554301320298385,0.2171226590871811,0.05785900726914406,0.024691358024691357,0.043478260869565216
cd1,xgboost,0.05,0.7339728072298878,0.14617511404136674,0.2208058387041092,0.05933111906051636,0.012345679012345678,0.02127659574468085
cd1,xgboost,0.2,0.6990942467521988,0.11522521165682072,0.2445237934589386,0.06787102669477463,0.037037037037037035,0.05357142857142857
cd1,xgboost,0.5,0.6058964738158639,0.0860570397147643,0.2929776906967163,0.08157790452241898,0.037037037037037035,0.05454545454545454
cd1,lightgbm,0.0,0.7406096183329299,0.15876920660615534,0.21439462642807258,0.05683154790706048,0.024691358024691357,0.045454545454545456
cd1,lightgbm,0.05,0.7409727265391752,0.15327993166993095,0.21464500177239537,0.057043524115384346,0.012345679012345678,0.023255813953488372
cd1,lightgbm,0.2,0.7263172758815459,0.14863982313695515,0.2160892708839725,0.05713498460255019,0.012345679012345678,0.023529411764705882
cd1,lightgbm,0.5,0.7093621399176954,0.134794234112002,0.21706027716701798,0.056939692516763285,0.0,0.0
cd1,logreg,0.0,0.7402767691438714,0.16285909064718204,0.2113269089874843,0.0556097615506184,0.0,0.0
cd1,logreg,0.05,0.7495007262164124,0.1634967586395435,0.21004955990331795,0.05553803363113848,0.0,0.0
cd1,logreg,0.2,0.7307603082385218,0.14934540982669572,0.2130547082341632,0.05606208333750983,0.0,0.0
cd1,logreg,0.5,0.7235737916565803,0.14982240745174957,0.21533615862345848,0.05610916344355452,0.0,0.0
cd2,xgboost,0.0,0.7787023495477736,0.5387682154301878,0.42869099974632263,0.13458764553070068,0.3454081632653061,0.45558546433378194
cd2,xgboost,0.05,0.7631659830125231,0.5272039466885965,0.43617454171180725,0.13677740097045898,0.33418367346938777,0.44618528610354224
cd2,xgboost,0.2,0.7283580342648424,0.4875440102704032,0.4595371186733246,0.1450694054365158,0.2841836734693878,0.39714795008912657
cd2,xgboost,0.5,0.6637372811340445,0.3896762229815073,0.5095715522766113,0.16495655477046967,0.18928571428571428,0.2787377911344853
cd2,lightgbm,0.0,0.7776218981910945,0.5380431030065821,0.42881387133994114,0.13462383974224812,0.3494897959183674,0.458040789033768
cd2,lightgbm,0.05,0.75944308760436,0.5107041780240466,0.44421999572156723,0.1407518748714757,0.3663265306122449,0.4529968454258675
cd2,lightgbm,0.2,0.7132219677643784,0.4569762180419723,0.4946492313432027,0.1616127062412223,0.42653061224489797,0.43746729461015177
cd2,lightgbm,0.5,0.6560519335575139,0.3824049426493893,0.5951320094221327,0.205967199624106,0.5586734693877551,0.400805270863836
cd2,logreg,0.0,0.761757595083488,0.5214701339626422,0.4396249050696978,0.13760984281361993,0.33877551020408164,0.44623655913978494
cd2,logreg,0.05,0.7573557803803339,0.5137269853415353,0.442979472722116,0.13886010368250018,0.31785714285714284,0.42876806607019957
cd2,logreg,0.2,0.7420722692486086,0.4981305551976996,0.45315668938680037,0.14281488830172667,0.25918367346938775,0.3757396449704142
cd2,logreg,0.5,0.6924058586502784,0.44218343600099647,0.48628781304048696,0.15470166228333662,0.1510204081632653,0.24790619765494137
ld1,xgboost,0.0,0.9094213729687071,0.7823355417529673,0.18977873027324677,0.037988848984241486,0.5494505494505495,0.6896551724137931
ld1,xgboost,0.05,0.8589245357471691,0.4495503117080231,0.4494384825229645,0.10269269347190857,0.5714285714285714,0.4482758620689655
ld1,xgboost,0.2,0.7506606559925386,0.2662351455216189,1.508513331413269,0.3088235855102539,0.6923076923076923,0.2625
ld1,xgboost,0.5,0.636513649571321,0.18198942698280957,4.216708660125732,0.6628484129905701,0.8791208791208791,0.18161180476730987
ld1,lightgbm,0.0,0.912063996938861,0.7770008013993711,0.3859742053576045,0.043859968713728534,0.5164835164835165,0.6666666666666666
ld1,lightgbm,0.05,0.9010749859498498,0.7428700191742368,0.4240297210093547,0.04717407900901349,0.4725274725274725,0.6277372262773723
ld1,lightgbm,0.2,0.8430807495007713,0.6418863378730841,0.5694525734913092,0.05640274908469128,0.38461538461538464,0.5343511450381679
ld1,lightgbm,0.5,0.7182795441772591,0.41435933104586375,0.9499017571732747,0.07235206291004817,0.2087912087912088,0.336283185840708
ld1,logreg,0.0,0.8129237465472503,0.5246268633777049,0.22266278714337823,0.05920970033892743,0.25274725274725274,0.39316239316239315
ld1,logreg,0.05,0.80122923866123,0.5070810616535092,0.22720301453192188,0.06035429066423558,0.23076923076923078,0.3684210526315789
ld1,logreg,0.2,0.7774336653553192,0.4997898036068195,0.23459238820442924,0.061208438673147327,0.21978021978021978,0.36036036036036034
ld1,logreg,0.5,0.7201329682287245,0.39260077616628014,0.25752408789341164,0.0682326565276915,0.14285714285714285,0.25
ld2,xgboost,0.0,0.9470036428752493,0.9023217366205708,0.19215327501296997,0.053789980709552765,0.7213638785295685,0.8241022519780888
ld2,xgboost,0.05,0.9073050696779728,0.7929545624072205,0.36344078183174133,0.09727071225643158,0.738945125199787,0.7303844128488678
ld2,xgboost,0.2,0.8205958717254089,0.5787102621639807,0.8561104536056519,0.2190590649843216,0.7735748534896111,0.5577107739581333
ld2,xgboost,0.5,0.7002805049644737,0.3896257635991346,1.9654197692871094,0.44794416427612305,0.8726691529035695,0.417910447761194
